graph_name,balance,number_of_nodes,number_of_edges,node_of_max_density_subgraph,average_clustering,degree_assortativity_coefficient,local_efficiency,global_efficiency,diameter,average_shortest_path_length,wiener_index
complete-graph-0107_0,True,764,2315,0.9659685863874345,0.05842146509685802,-0.06322311302723209,0.06734324249049413,0.24228538758456444,9,4.615207262596667,1345176.0
complete-graph-0107_1,False,689,2149,0.08127721335268505,0.038552714822671245,0.0247366748954421,0.048580870293497294,0.2518534814605286,8,4.422722516623351,1048256.0
complete-graph-0108_0,True,736,1919,0.4741847826086957,0.0498414855072465,0.22175523110181708,0.05635695071836393,0.22017457793980347,9,5.0451826382727,1364621.0
complete-graph-0108_1,False,804,2717,0.24378109452736318,0.07410596589701088,0.17514367497695985,0.09819812163539944,0.23742432060774202,10,4.72486261097997,1525214.0
complete-graph-0109_0,True,1032,2444,0.3333333333333333,0.029917251138181375,0.22090731746356185,0.03180793958410241,0.18878486764004285,10,5.998409762479417,3191130.0
complete-graph-0109_1,False,625,2031,0.136,0.03984551448551444,0.13907119898248851,0.05864290361490358,0.26741793040256245,8,4.103882051282051,800257.0
complete-graph-010_0,True,1200,2403,0.8766666666666667,0.11643584656084634,-0.027049985210420426,0.12813458994708982,0.11855491643700028,27,11.857702251876564,8530431.0
complete-graph-010_1,False,626,1372,0.15654952076677317,0.04463220485584702,0.16612868517322918,0.048789201125463116,0.2039792973084861,11,5.530458785942492,1081896.0
complete-graph-0110_0,True,118,248,0.8305084745762712,0.09378531073446325,0.04570991655862605,0.09663034705407582,0.30913646930594996,7,3.781254527017239,26102.0
complete-graph-0110_1,False,759,2080,0.11462450592885376,0.05631645473542711,0.5529549022654195,0.07124160241749178,0.204373336990281,10,5.477047635932573,1575533.0
complete-graph-0111_0,True,236,671,0.4830508474576271,0.0638705456502066,0.10590204098274111,0.07510863273575133,0.30726383665629103,7,3.640677966101695,100956.0
complete-graph-0111_1,False,856,2651,0.19976635514018692,0.0596305897312633,0.6344138115713375,0.09006320709648186,0.20616030275601374,10,5.388432529922938,1971843.0
complete-graph-0112_0,True,1206,2444,0.824212271973466,0.03620653347021512,-0.12391182562020679,0.03742399115533448,0.16960727434473744,12,6.619944537340958,4810151.0
complete-graph-0112_1,False,810,2381,0.15925925925925927,0.060832344650427465,0.6305103779534782,0.0914107973174785,0.19892912894002956,12,5.711669642448381,1871400.0
complete-graph-0113_0,True,1146,2326,0.8438045375218151,0.04400537411008622,-0.10516116609438346,0.045829524363555856,0.17157589197264841,12,6.534555735918365,4287224.0
complete-graph-0113_1,False,671,1755,0.08792846497764531,0.06555559224096084,0.6383208119253689,0.09934614248697701,0.21412648100031553,10,5.150775185176947,1157817.0
complete-graph-0114_0,True,1377,3491,0.48148148148148145,0.046868257216841326,0.23857905456508322,0.05194295201557385,0.1812378399232983,11,6.190660308050869,5864883.0
complete-graph-0114_1,False,770,2555,0.06753246753246753,0.050037667959745874,0.3128782885113978,0.07135769716266009,0.2424048920509596,9,4.614797426240859,1366280.0
complete-graph-0115_0,True,804,2026,0.5,0.0306760748924928,0.23081535401397948,0.03171798834112268,0.21545153317751276,10,5.251708456472309,1695283.0
complete-graph-0115_1,False,603,1913,0.14925373134328357,0.0407098613566275,0.08931991258280642,0.05247009378435578,0.26800371002624107,8,4.102251753414544,744571.0
complete-graph-0116_0,True,933,2233,0.3333333333333333,0.04045925492870834,0.22861896089622288,0.04335803680658992,0.20139985972375954,11,5.56202705748681,2418247.0
complete-graph-0116_1,False,939,2779,0.09478168264110756,0.051804387187773845,0.5748343805334603,0.07107497897159937,0.1979413478740668,11,5.638800520446603,2483277.0
complete-graph-0117_0,True,368,758,0.8695652173913043,0.054585058661145644,-0.1017318203755482,0.058101492408557665,0.23294877210276585,9,4.826486790664613,325923.0
complete-graph-0117_1,False,804,2252,0.12935323383084577,0.06655634995187247,0.5941870192135542,0.09141610085306781,0.2008018934729555,11,5.567343853583886,1797172.0
complete-graph-0118_0,True,735,1511,0.5714285714285714,0.02502645502645502,-0.10949970802271503,0.026086815678652415,0.19221632292451216,11,5.878262803759106,1585632.0
complete-graph-0118_1,False,836,2595,0.11363636363636363,0.0555747515376703,0.5405816810030394,0.07246192854574614,0.20551422104521674,10,5.47996733805117,1912673.0
complete-graph-0119_0,True,119,271,0.8907563025210085,0.0547952514339069,-0.16304898897600847,0.058086567960517546,0.336427791455563,7,3.368750890186583,23652.0
complete-graph-0119_1,False,693,1958,0.08513708513708514,0.06501824458916391,0.6068813506769476,0.0920156165048062,0.20858520487233653,9,5.379384263777327,1289858.0
complete-graph-011_0,True,500,1006,0.692,0.14960000000000015,-0.07641624316030042,0.16583174603174605,0.1466403683927316,20,9.102172344689379,1135496.0
complete-graph-011_1,False,856,1899,0.07359813084112149,0.057991716227697644,0.17175298035960923,0.06313479701330178,0.19083469721297852,12,5.820306607640597,2129883.0
complete-graph-0120_0,True,1376,3143,0.25,0.040326699301990045,0.23045023567438944,0.04330990728156431,0.17232607519812415,12,6.5006818181818184,6149645.0
complete-graph-0120_1,False,755,2518,0.10198675496688742,0.06549633221818657,0.350666656472656,0.0950276200375538,0.24128925070004958,9,4.646206545224586,1322473.0
complete-graph-0121_0,True,552,1308,0.3333333333333333,0.05244277662755923,0.2574802753217274,0.0570207662372518,0.20897930814488316,11,5.564296798968937,846196.0
complete-graph-0121_1,False,700,2001,0.1357142857142857,0.03714261928547646,0.623450054033897,0.045759362934873184,0.21258224739543302,10,5.310905375025547,1299313.0
complete-graph-0122_0,True,927,2211,0.3333333333333333,0.05652238208872519,0.2494110296463265,0.06057662721632527,0.19862474852789586,11,5.669704870212325,2433443.0
complete-graph-0122_1,False,700,2353,0.06857142857142857,0.057306876596792566,0.25914629830873914,0.08632116384793453,0.2526820628104628,9,4.406572654812998,1078068.0
complete-graph-0123_0,True,118,248,0.8135593220338984,0.07669491525423723,-0.05908991029033748,0.08486682808716701,0.30750467360635875,7,3.815442561205273,26338.0
complete-graph-0123_1,False,670,1708,0.06119402985074627,0.04902018793809837,0.5846858253255708,0.06546500100231446,0.21314376937252508,10,5.211583338910827,1167994.0
complete-graph-0124_0,True,118,252,0.9067796610169492,0.07207853351921145,-0.08931572757978383,0.07688996502555821,0.31492449797533556,7,3.6917282341011153,25484.0
complete-graph-0124_1,False,507,1596,0.10256410256410256,0.05972692659083185,0.09926822843832199,0.07188396744609761,0.27537388599245005,9,3.9998518761060566,513065.0
complete-graph-0125_0,True,512,1234,0.25,0.04889294733044732,0.19048240730904897,0.0524862064656987,0.23328404867179928,9,4.778742661448141,625136.0
complete-graph-0125_1,False,733,1937,0.05593451568894952,0.05561710913006962,0.591244519867468,0.08453076274188144,0.2049566787326778,10,5.427452120561507,1456066.0
complete-graph-0126_0,True,177,450,0.3333333333333333,0.09997309658326597,0.20778339526810552,0.1128575912474217,0.30569526989017515,7,3.738828967642527,58236.0
complete-graph-0126_1,False,772,2178,0.13989637305699482,0.06867640512489644,0.6457364219436906,0.10841098197756661,0.21248059648243794,9,5.163524928932884,1536696.0
complete-graph-0127_0,True,178,461,0.33146067415730335,0.0768726591760299,0.20758719759962285,0.0864581475536531,0.3115161737900373,7,3.6711102647114835,57831.0
complete-graph-0127_1,False,815,2395,0.0638036809815951,0.050505854064136366,0.5548683564823215,0.07380980225020546,0.2075918767941192,10,5.378149259130854,1783959.0
complete-graph-0128_0,True,1184,3318,0.71875,0.04432476307476329,0.1306563333865625,0.048257805289055496,0.20076831658359803,10,5.5767131776747165,3905573.0
complete-graph-0128_1,False,623,1530,0.0898876404494382,0.039444085431244315,0.4610035534860917,0.046189740792469534,0.20752487198789732,11,5.4500265802335965,1055959.0
complete-graph-0129_0,True,1032,2111,0.8498062015503876,0.05088901193552365,-0.048142231314799604,0.05316691275993609,0.17794899729047084,11,6.278043443935669,3339894.0
complete-graph-0129_1,False,926,2684,0.1900647948164147,0.053808752477917846,0.6218363858522697,0.07803541931439102,0.19751019269868655,10,5.658144883544452,2423242.0
complete-graph-012_1,False,645,1504,0.2744186046511628,0.037393424835285294,0.22557408515708846,0.04127063361559486,0.20872787739920315,10,5.363657373970822,1113978.0
complete-graph-0130_0,True,927,2517,0.6558791801510249,0.05138392711208264,0.15918995393909338,0.05934990735422257,0.21074298614646214,10,5.338799303822684,2291418.0
complete-graph-0130_1,False,628,2197,0.2229299363057325,0.04717553636156105,0.46194102595630987,0.06632557426469902,0.26290298100941245,8,4.212156767134977,829281.0
complete-graph-0131_0,True,1032,2453,0.3333333333333333,0.03700480720829568,0.2269241123898002,0.03846678999295292,0.19490108765181197,11,5.747659756840277,3057732.0
complete-graph-0131_1,False,806,2744,0.1401985111662531,0.06760533717729757,0.39331996810019787,0.09267419044991276,0.2369168826233506,9,4.707365565710587,1527140.0
complete-graph-0132_0,True,888,2107,0.3333333333333333,0.06265161265161301,0.257062332974088,0.06951800285133646,0.1950395908471783,10,5.771280863727313,2272892.0
complete-graph-0132_1,False,924,3403,0.19047619047619047,0.06552267972245071,0.38693939597434773,0.09648351999761332,0.23204962840337554,9,4.8227734706607945,2056556.0
complete-graph-0133_0,True,179,393,0.6256983240223464,0.06778841890573731,-0.09194131193860439,0.07081448966923824,0.2837128967880183,9,4.09308894607997,65207.0
complete-graph-0133_1,False,651,1598,0.2119815668202765,0.03667109473561084,0.5215695031683704,0.04362809063269896,0.21532510704814645,9,5.13557367363819,1086559.0
complete-graph-0134_0,True,805,1637,0.8621118012422361,0.04157842847283846,-0.10591674092285362,0.04363699102829544,0.19532715992112779,10,5.66453447050462,1833100.0
